GEN: 118   BEST FITNESS: 68720374773.55849        	BEST SCORE: 36   	BEST RATIO: 0.08933002481389578      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 119   BEST FITNESS: 68720381835.90233        	BEST SCORE: 36   	BEST RATIO: 0.11042944785276074      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 120   BEST FITNESS: 68720375057.0126         	BEST SCORE: 36   	BEST RATIO: 0.09                     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 121   BEST FITNESS: 2148141132.796993        	BEST SCORE: 31   	BEST RATIO: 0.08985507246376812      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 122   BEST FITNESS: 8590676378.518211        	BEST SCORE: 33   	BEST RATIO: 0.0728476821192053       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 123   BEST FITNESS: 8590678997.187567        	BEST SCORE: 33   	BEST RATIO: 0.07801418439716312      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 124   BEST FITNESS: 8590682986.477392        	BEST SCORE: 33   	BEST RATIO: 0.08776595744680851      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 125   BEST FITNESS: 34360584125.55765        	BEST SCORE: 35   	BEST RATIO: 0.08684863523573201      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 126   BEST FITNESS: 8796094314069.549        	BEST SCORE: 43   	BEST RATIO: 0.07775768535262206      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 127   BEST FITNESS: 8590673256.35533         	BEST SCORE: 33   	BEST RATIO: 0.06762295081967214      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 128   BEST FITNESS: 68720358800.65166        	BEST SCORE: 36   	BEST RATIO: 0.06394316163410302      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 129   BEST FITNESS: 17180647831.17459        	BEST SCORE: 34   	BEST RATIO: 0.05872193436960276      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 130   BEST FITNESS: 17180661084.690483       	BEST SCORE: 34   	BEST RATIO: 0.0774487471526196       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 131   BEST FITNESS: 34360571798.503136       	BEST SCORE: 35   	BEST RATIO: 0.06578947368421052      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 132   BEST FITNESS: 137439883331.85968       	BEST SCORE: 37   	BEST RATIO: 0.06026058631921824      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 133   BEST FITNESS: 68720360052.7021         	BEST SCORE: 36   	BEST RATIO: 0.06533575317604355      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
