GEN: 112   AVG SCORE: 10.22                 	AVG RATIO: 0.0469968392087801    	BEST SCORE: 40   	BEST RATIO: 0.07380073800738007   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 113   AVG SCORE: 9.835454545454546     	AVG RATIO: 0.04511563151731471   	BEST SCORE: 42   	BEST RATIO: 0.04964539007092199   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 114   AVG SCORE: 10.732727272727272    	AVG RATIO: 0.04272990945834346   	BEST SCORE: 40   	BEST RATIO: 0.062111801242236024  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 115   AVG SCORE: 10.043636363636363    	AVG RATIO: 0.04176504786827428   	BEST SCORE: 42   	BEST RATIO: 0.06222222222222222   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 116   AVG SCORE: 11.632727272727273    	AVG RATIO: 0.04659497202538908   	BEST SCORE: 40   	BEST RATIO: 0.06201550387596899   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 117   AVG SCORE: 11.118181818181819    	AVG RATIO: 0.04303092429230273   	BEST SCORE: 38   	BEST RATIO: 0.054441260744985676  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 118   AVG SCORE: 10.908181818181818    	AVG RATIO: 0.04460713110795813   	BEST SCORE: 39   	BEST RATIO: 0.07442748091603053   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 119   AVG SCORE: 10.863636363636363    	AVG RATIO: 0.04396683197366105   	BEST SCORE: 40   	BEST RATIO: 0.05943536404160475   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 120   AVG SCORE: 11.288181818181819    	AVG RATIO: 0.04740850564622677   	BEST SCORE: 40   	BEST RATIO: 0.05706134094151213   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 121   AVG SCORE: 10.904545454545454    	AVG RATIO: 0.04819860367769395   	BEST SCORE: 42   	BEST RATIO: 0.061764705882352944  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 122   AVG SCORE: 10.982727272727272    	AVG RATIO: 0.04445182828431467   	BEST SCORE: 40   	BEST RATIO: 0.06968641114982578   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 123   AVG SCORE: 9.696363636363637     	AVG RATIO: 0.04442458807921694   	BEST SCORE: 41   	BEST RATIO: 0.06507936507936508   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 124   AVG SCORE: 10.673636363636364    	AVG RATIO: 0.042783937699145944  	BEST SCORE: 39   	BEST RATIO: 0.0712979890310786    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
