GEN: 162   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.0436241610738255       WON: 0    	WON AVG RATIO: 0                        	
GEN: 163   BEST FITNESS: 6.044629098073146e+23    	BEST SCORE: 79   	BEST RATIO: 0.04265658747300216      WON: 0    	WON AVG RATIO: 0                        	
GEN: 164   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.03903614457831325      WON: 0    	WON AVG RATIO: 0                        	
GEN: 165   BEST FITNESS: 1.2089258196146292e+24   	BEST SCORE: 80   	BEST RATIO: 0.040342914775592535     WON: 0    	WON AVG RATIO: 0                        	
GEN: 166   BEST FITNESS: 1.8889465931478585e+22   	BEST SCORE: 74   	BEST RATIO: 0.039361702127659576     WON: 0    	WON AVG RATIO: 0                        	
GEN: 167   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04734111543450065      WON: 0    	WON AVG RATIO: 0                        	
GEN: 168   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.04299889746416759      WON: 0    	WON AVG RATIO: 0                        	
GEN: 169   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.042777777777777776     WON: 0    	WON AVG RATIO: 0                        	
GEN: 170   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.040156162855549356     WON: 0    	WON AVG RATIO: 0                        	
GEN: 171   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.044444444444444446     WON: 0    	WON AVG RATIO: 0                        	
GEN: 172   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.04466501240694789      WON: 0    	WON AVG RATIO: 0                        	
GEN: 173   BEST FITNESS: 4.835703278458517e+24    	BEST SCORE: 82   	BEST RATIO: 0.03808639108221087      WON: 0    	WON AVG RATIO: 0                        	
GEN: 174   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.04624624624624624      WON: 0    	WON AVG RATIO: 0                        	
GEN: 175   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.049511400651465795     WON: 0    	WON AVG RATIO: 0                        	
