GEN: 88    BEST FITNESS: 24.72897196261682        	BEST SCORE: 27   	BEST RATIO: 0.09183673469387756      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 89    BEST FITNESS: 30.200351493848856       	BEST SCORE: 32   	BEST RATIO: 0.0595903165735568       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 90    BEST FITNESS: 27.587131367292226       	BEST SCORE: 30   	BEST RATIO: 0.08746355685131195      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 91    BEST FITNESS: 26.349473684210526       	BEST SCORE: 28   	BEST RATIO: 0.06263982102908278      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 92    BEST FITNESS: 26.380165289256198       	BEST SCORE: 28   	BEST RATIO: 0.06140350877192982      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 93    BEST FITNESS: 25.740932642487046       	BEST SCORE: 27   	BEST RATIO: 0.04891304347826087      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 94    BEST FITNESS: 25.74712643678161        	BEST SCORE: 28   	BEST RATIO: 0.0875                   WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 95    BEST FITNESS: 28.673123486682808       	BEST SCORE: 31   	BEST RATIO: 0.08115183246073299      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 96    BEST FITNESS: 26.21818181818182        	BEST SCORE: 28   	BEST RATIO: 0.06796116504854369      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 97    BEST FITNESS: 31.664646464646463       	BEST SCORE: 34   	BEST RATIO: 0.0737527114967462       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 98    BEST FITNESS: 25.42105263157895        	BEST SCORE: 28   	BEST RATIO: 0.10144927536231885      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 99    BEST FITNESS: 29.058585858585857       	BEST SCORE: 31   	BEST RATIO: 0.0668103448275862       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 100   BEST FITNESS: 25.226277372262775       	BEST SCORE: 27   	BEST RATIO: 0.0703125                WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 101   BEST FITNESS: 31.254807692307693       	BEST SCORE: 33   	BEST RATIO: 0.05583756345177665      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 102   BEST FITNESS: 31.237864077669904       	BEST SCORE: 33   	BEST RATIO: 0.05641025641025641      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 103   BEST FITNESS: 27.794117647058822       	BEST SCORE: 30   	BEST RATIO: 0.07936507936507936      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 104   BEST FITNESS: 33.074492099322796       	BEST SCORE: 36   	BEST RATIO: 0.08845208845208845      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 105   BEST FITNESS: 26.12887828162291        	BEST SCORE: 28   	BEST RATIO: 0.07161125319693094      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 106   BEST FITNESS: 26.12887828162291        	BEST SCORE: 28   	BEST RATIO: 0.07161125319693094      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 107   BEST FITNESS: 28.11320754716981        	BEST SCORE: 30   	BEST RATIO: 0.06711409395973154      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 108   BEST FITNESS: 29.23992673992674        	BEST SCORE: 31   	BEST RATIO: 0.06019417475728155      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 109   BEST FITNESS: 33.1578947368421         	BEST SCORE: 35   	BEST RATIO: 0.05555555555555555      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 110   BEST FITNESS: 34.84069400630915        	BEST SCORE: 37   	BEST RATIO: 0.06197654941373534      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 111   BEST FITNESS: 35.09596662030598        	BEST SCORE: 37   	BEST RATIO: 0.054252199413489736     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 112   BEST FITNESS: 30.972067039106147       	BEST SCORE: 33   	BEST RATIO: 0.06547619047619048      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 113   BEST FITNESS: 31.996533795493935       	BEST SCORE: 34   	BEST RATIO: 0.06261510128913444      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 114   BEST FITNESS: 31.10278745644599        	BEST SCORE: 33   	BEST RATIO: 0.06099815157116451      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 115   BEST FITNESS: 31.009140767824498       	BEST SCORE: 33   	BEST RATIO: 0.06420233463035019      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 116   BEST FITNESS: 32.985197368421055       	BEST SCORE: 35   	BEST RATIO: 0.06108202443280977      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 117   BEST FITNESS: 29.667425968109338       	BEST SCORE: 32   	BEST RATIO: 0.07862407862407862      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 118   BEST FITNESS: 30.443661971830984       	BEST SCORE: 33   	BEST RATIO: 0.08396946564885496      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 119   BEST FITNESS: 32.5050916496945         	BEST SCORE: 35   	BEST RATIO: 0.07675438596491228      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 120   BEST FITNESS: 33.004885993485345       	BEST SCORE: 35   	BEST RATIO: 0.06044905008635579      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 121   BEST FITNESS: 27.892271662763466       	BEST SCORE: 30   	BEST RATIO: 0.07556675062972293      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 122   BEST FITNESS: 30.082397003745317       	BEST SCORE: 32   	BEST RATIO: 0.06374501992031872      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 123   BEST FITNESS: 32.28381374722838        	BEST SCORE: 35   	BEST RATIO: 0.08413461538461539      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
