GEN: 84    AVG FITNESS: 14174.999888999846       	AVG SCORE: 0.824     	AVG RATIO: 0.051846724973258665     	BEST FITNESS: 119230.76923076923       	BEST SCORE: 11   	BEST RATIO: 0.08461538461538462      TOO_OLD: 27      	WON: 0    	
GEN: 85    AVG FITNESS: 13830.622904872864       	AVG SCORE: 0.794     	AVG RATIO: 0.05102827763496144      	BEST FITNESS: 119230.76923076923       	BEST SCORE: 11   	BEST RATIO: 0.08943089430894309      TOO_OLD: 36      	WON: 0    	
GEN: 86    AVG FITNESS: 13809.912698412656       	AVG SCORE: 0.791     	AVG RATIO: 0.04764486206481147      	BEST FITNESS: 169444.44444444444       	BEST SCORE: 16   	BEST RATIO: 0.05734767025089606      TOO_OLD: 37      	WON: 0    	
GEN: 87    AVG FITNESS: 14271.912698412667       	AVG SCORE: 0.832     	AVG RATIO: 0.05108996008596868      	BEST FITNESS: 129285.71428571429       	BEST SCORE: 12   	BEST RATIO: 0.07741935483870968      TOO_OLD: 29      	WON: 0    	
GEN: 88    AVG FITNESS: 14012.345487845443       	AVG SCORE: 0.806     	AVG RATIO: 0.05540661304736372      	BEST FITNESS: 119230.76923076923       	BEST SCORE: 11   	BEST RATIO: 0.1134020618556701       TOO_OLD: 17      	WON: 0    	
GEN: 89    AVG FITNESS: 14230.366341991301       	AVG SCORE: 0.828     	AVG RATIO: 0.050673194614443084     	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.09859154929577464      TOO_OLD: 30      	WON: 0    	
GEN: 90    AVG FITNESS: 15005.166555666512       	AVG SCORE: 0.9       	AVG RATIO: 0.05523505584877869      	BEST FITNESS: 119230.76923076923       	BEST SCORE: 11   	BEST RATIO: 0.13253012048192772      TOO_OLD: 24      	WON: 0    	
GEN: 91    AVG FITNESS: 15195.4718614718         	AVG SCORE: 0.919     	AVG RATIO: 0.05237959532630379      	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.0945945945945946       TOO_OLD: 36      	WON: 0    	
GEN: 92    AVG FITNESS: 15389.261544011506       	AVG SCORE: 0.935     	AVG RATIO: 0.05307072312407766      	BEST FITNESS: 99090.90909090909        	BEST SCORE: 9    	BEST RATIO: 0.06923076923076923      TOO_OLD: 35      	WON: 0    	
GEN: 93    AVG FITNESS: 15731.63480963477        	AVG SCORE: 0.968     	AVG RATIO: 0.05440647482014388      	BEST FITNESS: 129285.71428571429       	BEST SCORE: 12   	BEST RATIO: 0.07058823529411765      TOO_OLD: 31      	WON: 0    	
GEN: 94    AVG FITNESS: 15725.21651959147        	AVG SCORE: 0.967     	AVG RATIO: 0.0534224628473565       	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.1                      TOO_OLD: 32      	WON: 0    	
GEN: 95    AVG FITNESS: 14803.276404151358       	AVG SCORE: 0.885     	AVG RATIO: 0.049306368042787894     	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.10852713178294573      TOO_OLD: 36      	WON: 0    	
