GEN: 140   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.04528985507246377      WON: 0    	WON AVG RATIO: 0                        	
GEN: 141   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.0411522633744856       WON: 0    	WON AVG RATIO: 0                        	
GEN: 142   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04243439419318816      WON: 0    	WON AVG RATIO: 0                        	
GEN: 143   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.041120381406436236     WON: 0    	WON AVG RATIO: 0                        	
GEN: 144   BEST FITNESS: 1.2089258196146292e+24   	BEST SCORE: 80   	BEST RATIO: 0.04296455424274973      WON: 0    	WON AVG RATIO: 0                        	
GEN: 145   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.041359773371104816     WON: 0    	WON AVG RATIO: 0                        	
GEN: 146   BEST FITNESS: 1.8889465931478585e+22   	BEST SCORE: 74   	BEST RATIO: 0.042848870874348584     WON: 0    	WON AVG RATIO: 0                        	
GEN: 147   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.03839824465167307      WON: 0    	WON AVG RATIO: 0                        	
GEN: 148   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.04156908665105386      WON: 0    	WON AVG RATIO: 0                        	
GEN: 149   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.04276114844227245      WON: 0    	WON AVG RATIO: 0                        	
GEN: 150   BEST FITNESS: 1.475739525896795e+20    	BEST SCORE: 67   	BEST RATIO: 0.04499664204163868      WON: 0    	WON AVG RATIO: 0                        	
GEN: 151   BEST FITNESS: 1.4757395258967946e+20   	BEST SCORE: 67   	BEST RATIO: 0.04224464060529634      WON: 0    	WON AVG RATIO: 0                        	
GEN: 152   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.039886039886039885     WON: 0    	WON AVG RATIO: 0                        	
GEN: 153   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.04242424242424243      WON: 0    	WON AVG RATIO: 0                        	
GEN: 154   BEST FITNESS: 4.611686018429953e+18    	BEST SCORE: 62   	BEST RATIO: 0.038822792736380715     WON: 0    	WON AVG RATIO: 0                        	
GEN: 155   BEST FITNESS: 1.475739525896795e+20    	BEST SCORE: 67   	BEST RATIO: 0.045547246770904146     WON: 0    	WON AVG RATIO: 0                        	
GEN: 156   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04360812425328554      WON: 0    	WON AVG RATIO: 0                        	
GEN: 157   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.04237786933490288      WON: 0    	WON AVG RATIO: 0                        	
GEN: 158   BEST FITNESS: 2.95147905179356e+20     	BEST SCORE: 68   	BEST RATIO: 0.0413625304136253       WON: 0    	WON AVG RATIO: 0                        	
GEN: 159   BEST FITNESS: 7.205759404001085e+16    	BEST SCORE: 56   	BEST RATIO: 0.03888888888888889      WON: 0    	WON AVG RATIO: 0                        	
GEN: 160   BEST FITNESS: 2.9514790517935604e+20   	BEST SCORE: 68   	BEST RATIO: 0.04745289602233078      WON: 0    	WON AVG RATIO: 0                        	
GEN: 161   BEST FITNESS: 3.689348814742187e+19    	BEST SCORE: 65   	BEST RATIO: 0.03528773072747014      WON: 0    	WON AVG RATIO: 0                        	
GEN: 162   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.03904071388733965      WON: 0    	WON AVG RATIO: 0                        	
GEN: 163   BEST FITNESS: 1.4757395258967953e+20   	BEST SCORE: 67   	BEST RATIO: 0.04862119013062409      WON: 0    	WON AVG RATIO: 0                        	
GEN: 164   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.039677975848188614     WON: 0    	WON AVG RATIO: 0                        	
GEN: 165   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.0470668485675307       WON: 0    	WON AVG RATIO: 0                        	
GEN: 166   BEST FITNESS: 1.152921504609249e+18    	BEST SCORE: 60   	BEST RATIO: 0.039190071848465055     WON: 0    	WON AVG RATIO: 0                        	
GEN: 167   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.042692939244663386     WON: 0    	WON AVG RATIO: 0                        	
GEN: 168   BEST FITNESS: 7.378697629484112e+19    	BEST SCORE: 66   	BEST RATIO: 0.03864168618266979      WON: 0    	WON AVG RATIO: 0                        	
GEN: 169   BEST FITNESS: 1.9342813113834067e+25   	BEST SCORE: 84   	BEST RATIO: 0.04375                  WON: 0    	WON AVG RATIO: 0                        	
GEN: 170   BEST FITNESS: 7.37869762948411e+19     	BEST SCORE: 66   	BEST RATIO: 0.03841676367869616      WON: 0    	WON AVG RATIO: 0                        	
GEN: 171   BEST FITNESS: 1.2089258196146292e+24   	BEST SCORE: 80   	BEST RATIO: 0.03992015968063872      WON: 0    	WON AVG RATIO: 0                        	
GEN: 172   BEST FITNESS: 6.044629098073146e+23    	BEST SCORE: 79   	BEST RATIO: 0.04095386210471747      WON: 0    	WON AVG RATIO: 0                        	
