GEN: 152   BEST FITNESS: 562949955022862.9        	BEST SCORE: 49   	BEST RATIO: 0.041916167664670656     WON: 0    	
GEN: 153   BEST FITNESS: 140737489843787.78       	BEST SCORE: 47   	BEST RATIO: 0.04625984251968504      WON: 0    	
GEN: 154   BEST FITNESS: 4503599629193840.0       	BEST SCORE: 52   	BEST RATIO: 0.044293015332197615     WON: 0    	
GEN: 155   BEST FITNESS: 140737489846200.8        	BEST SCORE: 47   	BEST RATIO: 0.046906187624750496     WON: 0    	
GEN: 156   BEST FITNESS: 3.602879702101701e+16    	BEST SCORE: 55   	BEST RATIO: 0.04537953795379538      WON: 0    	
GEN: 157   BEST FITNESS: 1125899908501261.0       	BEST SCORE: 50   	BEST RATIO: 0.04006410256410257      WON: 0    	
GEN: 158   BEST FITNESS: 562949955033769.4        	BEST SCORE: 49   	BEST RATIO: 0.04410441044104411      WON: 0    	
GEN: 159   BEST FITNESS: 9007199256676228.0       	BEST SCORE: 53   	BEST RATIO: 0.05268389662027833      WON: 0    	
GEN: 160   BEST FITNESS: 4503599629224978.0       	BEST SCORE: 52   	BEST RATIO: 0.05108055009823183      WON: 0    	
GEN: 161   BEST FITNESS: 562949955024755.2        	BEST SCORE: 49   	BEST RATIO: 0.04227782571182054      WON: 0    	
GEN: 162   BEST FITNESS: 281474978293795.75       	BEST SCORE: 48   	BEST RATIO: 0.054982817869415807     WON: 0    	
GEN: 163   BEST FITNESS: 2251799815409424.0       	BEST SCORE: 51   	BEST RATIO: 0.0395655546935609       WON: 0    	
GEN: 164   BEST FITNESS: 4503599629159519.0       	BEST SCORE: 52   	BEST RATIO: 0.038834951456310676     WON: 0    	
GEN: 165   BEST FITNESS: 562949955076491.1        	BEST SCORE: 49   	BEST RATIO: 0.05606407322654462      WON: 0    	
GEN: 166   BEST FITNESS: 9007199256649242.0       	BEST SCORE: 53   	BEST RATIO: 0.046532045654082525     WON: 0    	
GEN: 167   BEST FITNESS: 562949955047436.4        	BEST SCORE: 49   	BEST RATIO: 0.04725168756027001      WON: 0    	
GEN: 168   BEST FITNESS: 1125899908514809.0       	BEST SCORE: 50   	BEST RATIO: 0.04240882103477523      WON: 0    	
GEN: 169   BEST FITNESS: 562949955079605.5        	BEST SCORE: 49   	BEST RATIO: 0.05724299065420561      WON: 0    	
GEN: 170   BEST FITNESS: 1125899908541370.8       	BEST SCORE: 50   	BEST RATIO: 0.04807692307692308      WON: 0    	
GEN: 171   BEST FITNESS: 1125899908542120.0       	BEST SCORE: 50   	BEST RATIO: 0.04826254826254826      WON: 0    	
GEN: 172   BEST FITNESS: 2251799815424244.5       	BEST SCORE: 51   	BEST RATIO: 0.04194078947368421      WON: 0    	
GEN: 173   BEST FITNESS: 2251799815457322.0       	BEST SCORE: 51   	BEST RATIO: 0.04866412213740458      WON: 0    	
GEN: 174   BEST FITNESS: 2251799815444112.5       	BEST SCORE: 51   	BEST RATIO: 0.0456989247311828       WON: 0    	
GEN: 175   BEST FITNESS: 2251799815466682.0       	BEST SCORE: 51   	BEST RATIO: 0.05105105105105105      WON: 0    	
GEN: 176   BEST FITNESS: 1125899908494101.8       	BEST SCORE: 50   	BEST RATIO: 0.03894080996884735      WON: 0    	
GEN: 177   BEST FITNESS: 3.602879702105278e+16    	BEST SCORE: 55   	BEST RATIO: 0.052581261950286805     WON: 0    	
GEN: 178   BEST FITNESS: 1.8014398511424836e+16   	BEST SCORE: 54   	BEST RATIO: 0.04011887072808321      WON: 0    	
GEN: 179   BEST FITNESS: 1.8014398511381036e+16   	BEST SCORE: 54   	BEST RATIO: 0.03508771929824561      WON: 0    	
GEN: 180   BEST FITNESS: 2251799815465923.0       	BEST SCORE: 51   	BEST RATIO: 0.05084745762711865      WON: 0    	
GEN: 181   BEST FITNESS: 2251799815464592.5       	BEST SCORE: 51   	BEST RATIO: 0.0504950495049505       WON: 0    	
GEN: 182   BEST FITNESS: 9007199256679802.0       	BEST SCORE: 53   	BEST RATIO: 0.053643724696356275     WON: 0    	
GEN: 183   BEST FITNESS: 9007199256656234.0       	BEST SCORE: 53   	BEST RATIO: 0.04796380090497738      WON: 0    	
GEN: 184   BEST FITNESS: 9007199256617000.0       	BEST SCORE: 53   	BEST RATIO: 0.04102167182662539      WON: 0    	
GEN: 185   BEST FITNESS: 1125899908535156.2       	BEST SCORE: 50   	BEST RATIO: 0.046598322460391424     WON: 0    	
GEN: 186   BEST FITNESS: 9007199256585140.0       	BEST SCORE: 53   	BEST RATIO: 0.0368567454798331       WON: 0    	
GEN: 187   BEST FITNESS: 9007199256682372.0       	BEST SCORE: 53   	BEST RATIO: 0.05435897435897436      WON: 0    	
GEN: 188   BEST FITNESS: 562949955058663.4        	BEST SCORE: 49   	BEST RATIO: 0.050256410256410255     WON: 0    	
GEN: 189   BEST FITNESS: 9007199256674236.0       	BEST SCORE: 53   	BEST RATIO: 0.05216535433070866      WON: 0    	
GEN: 190   BEST FITNESS: 4503599629231969.0       	BEST SCORE: 52   	BEST RATIO: 0.05295315682281059      WON: 0    	
GEN: 191   BEST FITNESS: 4503599629222043.0       	BEST SCORE: 52   	BEST RATIO: 0.05033881897386254      WON: 0    	
GEN: 192   BEST FITNESS: 9007199256639260.0       	BEST SCORE: 53   	BEST RATIO: 0.04465037910699242      WON: 0    	
GEN: 193   BEST FITNESS: 1125899908516170.2       	BEST SCORE: 50   	BEST RATIO: 0.042662116040955635     WON: 0    	
GEN: 194   BEST FITNESS: 9007199256629154.0       	BEST SCORE: 53   	BEST RATIO: 0.04291497975708502      WON: 0    	
GEN: 195   BEST FITNESS: 9007199256634222.0       	BEST SCORE: 53   	BEST RATIO: 0.04376548307184145      WON: 0    	
GEN: 196   BEST FITNESS: 4503599629177785.0       	BEST SCORE: 52   	BEST RATIO: 0.04153354632587859      WON: 0    	
GEN: 197   BEST FITNESS: 2251799815397466.5       	BEST SCORE: 51   	BEST RATIO: 0.0378619153674833       WON: 0    	
GEN: 198   BEST FITNESS: 3.602879702101569e+16    	BEST SCORE: 55   	BEST RATIO: 0.0451559934318555       WON: 0    	
GEN: 199   BEST FITNESS: 9007199256639676.0       	BEST SCORE: 53   	BEST RATIO: 0.04472573839662447      WON: 0    	
GEN: 200   BEST FITNESS: 2251799815430258.5       	BEST SCORE: 51   	BEST RATIO: 0.04300168634064081      WON: 0    	
GEN: 201   BEST FITNESS: 3.602879702101193e+16    	BEST SCORE: 55   	BEST RATIO: 0.044534412955465584     WON: 0    	
GEN: 202   BEST FITNESS: 2.8823037615395174e+17   	BEST SCORE: 58   	BEST RATIO: 0.03908355795148248      WON: 0    	
GEN: 203   BEST FITNESS: 2.882303761540066e+17    	BEST SCORE: 58   	BEST RATIO: 0.046068308181096106     WON: 0    	
GEN: 204   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.044                    WON: 0    	
GEN: 205   BEST FITNESS: 2.361183241434826e+21    	BEST SCORE: 71   	BEST RATIO: 0.03796791443850268      WON: 0    	
GEN: 206   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.0400219298245614       WON: 0    	
GEN: 207   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.038781163434903045     WON: 0    	
GEN: 208   BEST FITNESS: 4.951760157141521e+27    	BEST SCORE: 92   	BEST RATIO: 0.04679552390640895      WON: 0    	
GEN: 209   BEST FITNESS: 6.532198694333736e+32    	BEST SCORE: 97   	BEST RATIO: 0.04122396940076498      WON: 1    	
GEN: 210   BEST FITNESS: 3.961408125713217e+28    	BEST SCORE: 95   	BEST RATIO: 0.044206607724523034     WON: 0    	
GEN: 211   BEST FITNESS: 1.9807040628566084e+28   	BEST SCORE: 94   	BEST RATIO: 0.045764362220058426     WON: 0    	
GEN: 212   BEST FITNESS: 7.737125245533627e+25    	BEST SCORE: 86   	BEST RATIO: 0.03581840899625156      WON: 0    	
GEN: 213   BEST FITNESS: 2.4758800785707605e+27   	BEST SCORE: 91   	BEST RATIO: 0.04108352144469526      WON: 0    	
GEN: 214   BEST FITNESS: 7.841971187636368e+32    	BEST SCORE: 97   	BEST RATIO: 0.049489795918367344     WON: 1    	
GEN: 215   BEST FITNESS: 7.189084905410328e+32    	BEST SCORE: 97   	BEST RATIO: 0.045369504209541625     WON: 2    	
GEN: 216   BEST FITNESS: 3.961408125713217e+28    	BEST SCORE: 95   	BEST RATIO: 0.044309701492537316     WON: 0    	
