GEN: 93    AVG FITNESS: 5.230742174331599        	AVG SCORE: 5.498     	AVG RATIO: 0.04021916445380795      	BEST FITNESS: 35.47110332749562        	BEST SCORE: 38   	BEST RATIO: 0.07129455909943715      TOO_OLD: 372     	WON: 0    	
GEN: 94    AVG FITNESS: 4.671168254762966        	AVG SCORE: 4.902     	AVG RATIO: 0.03821119832874726      	BEST FITNESS: 31.229268292682928       	BEST SCORE: 33   	BEST RATIO: 0.05670103092783505      TOO_OLD: 385     	WON: 0    	
GEN: 95    AVG FITNESS: 4.620061347653942        	AVG SCORE: 4.85      	AVG RATIO: 0.03812413532888945      	BEST FITNESS: 38.61221590909091        	BEST SCORE: 41   	BEST RATIO: 0.06184012066365008      TOO_OLD: 392     	WON: 0    	
GEN: 96    AVG FITNESS: 5.226362654335556        	AVG SCORE: 5.49      	AVG RATIO: 0.040447948132321526     	BEST FITNESS: 33.174366616989566       	BEST SCORE: 35   	BEST RATIO: 0.055031446540880505     TOO_OLD: 364     	WON: 0    	
GEN: 97    AVG FITNESS: 4.983133592585904        	AVG SCORE: 5.232     	AVG RATIO: 0.03957310662501607      	BEST FITNESS: 31.237864077669904       	BEST SCORE: 33   	BEST RATIO: 0.05641025641025641      TOO_OLD: 347     	WON: 0    	
GEN: 98    AVG FITNESS: 5.296809847881884        	AVG SCORE: 5.556     	AVG RATIO: 0.03973254192441091      	BEST FITNESS: 30.754639175257733       	BEST SCORE: 33   	BEST RATIO: 0.07300884955752213      TOO_OLD: 357     	WON: 0    	
GEN: 99    AVG FITNESS: 5.122578335455128        	AVG SCORE: 5.374     	AVG RATIO: 0.03924174492135586      	BEST FITNESS: 30.839285714285715       	BEST SCORE: 33   	BEST RATIO: 0.07006369426751592      TOO_OLD: 375     	WON: 0    	
GEN: 100   AVG FITNESS: 5.554056441411784        	AVG SCORE: 5.836     	AVG RATIO: 0.041116833524732804     	BEST FITNESS: 33.990697674418605       	BEST SCORE: 36   	BEST RATIO: 0.059113300492610835     TOO_OLD: 329     	WON: 0    	
GEN: 101   AVG FITNESS: 5.562095888331224        	AVG SCORE: 5.842     	AVG RATIO: 0.04093788541316291      	BEST FITNESS: 31.132075471698112       	BEST SCORE: 33   	BEST RATIO: 0.06                     TOO_OLD: 346     	WON: 0    	
GEN: 102   AVG FITNESS: 5.672144791084379        	AVG SCORE: 5.948     	AVG RATIO: 0.0392947036711612       	BEST FITNESS: 32.06365159128978        	BEST SCORE: 34   	BEST RATIO: 0.06039076376554174      TOO_OLD: 378     	WON: 0    	
GEN: 103   AVG FITNESS: 5.620092228706099        	AVG SCORE: 5.895     	AVG RATIO: 0.03976525346554689      	BEST FITNESS: 32.25377643504532        	BEST SCORE: 34   	BEST RATIO: 0.054140127388535034     TOO_OLD: 376     	WON: 0    	
GEN: 104   AVG FITNESS: 5.618332482206751        	AVG SCORE: 5.897     	AVG RATIO: 0.040137762985046184     	BEST FITNESS: 31.901996370235935       	BEST SCORE: 34   	BEST RATIO: 0.06576402321083172      TOO_OLD: 357     	WON: 0    	
