GEN: 98    AVG FITNESS: 258847419.20258704       	AVG SCORE: 4.787     	AVG RATIO: 0.05967860571229103      	BEST SCORE: 37   	BEST RATIO: 0.05339105339105339      TOO_OLD: 79      	WON: 0    	
GEN: 99    AVG FITNESS: 31564783.336396758       	AVG SCORE: 4.98      	AVG RATIO: 0.060664384646307155     	BEST SCORE: 33   	BEST RATIO: 0.06707317073170732      TOO_OLD: 92      	WON: 0    	
GEN: 100   AVG FITNESS: 15491139.379760567       	AVG SCORE: 5.536     	AVG RATIO: 0.059223124404933825     	BEST SCORE: 32   	BEST RATIO: 0.055267702936096716     TOO_OLD: 121     	WON: 0    	
GEN: 101   AVG FITNESS: 150363038.69912612       	AVG SCORE: 5.367     	AVG RATIO: 0.05889647301538529      	BEST SCORE: 36   	BEST RATIO: 0.07484407484407485      TOO_OLD: 107     	WON: 0    	
GEN: 102   AVG FITNESS: 190730814.40981066       	AVG SCORE: 4.27      	AVG RATIO: 0.05716274648924349      	BEST SCORE: 37   	BEST RATIO: 0.06537102473498234      TOO_OLD: 93      	WON: 0    	
GEN: 103   AVG FITNESS: 18122632.40970473        	AVG SCORE: 3.695     	AVG RATIO: 0.055190440627333824     	BEST SCORE: 32   	BEST RATIO: 0.06986899563318777      TOO_OLD: 91      	WON: 0    	
GEN: 104   AVG FITNESS: 16922234.20624657        	AVG SCORE: 3.796     	AVG RATIO: 0.05446041720467131      	BEST SCORE: 33   	BEST RATIO: 0.07990314769975787      TOO_OLD: 104     	WON: 0    	
GEN: 105   AVG FITNESS: 23886632.908382747       	AVG SCORE: 3.472     	AVG RATIO: 0.05238540692235734      	BEST SCORE: 33   	BEST RATIO: 0.06521739130434782      TOO_OLD: 110     	WON: 0    	
GEN: 106   AVG FITNESS: 1012399465.9481697       	AVG SCORE: 5.414     	AVG RATIO: 0.05648880449072431      	BEST SCORE: 39   	BEST RATIO: 0.046706586826347304     TOO_OLD: 98      	WON: 0    	
GEN: 107   AVG FITNESS: 1274029058.721477        	AVG SCORE: 6.277     	AVG RATIO: 0.0563247579480093       	BEST SCORE: 40   	BEST RATIO: 0.05509641873278237      TOO_OLD: 130     	WON: 0    	
